iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
161	0.6350676329	0.6421618098	0.6810527221
162	0.635054767	0.6421623052	0.6810664832
163	0.6350383457	0.6422050032	0.6811112067
164	0.63502864	0.642232643	0.6811180872
165	0.6350092554	0.6422530508	0.6810871248
166	0.6349827128	0.6423009994	0.6808428657
167	0.6349784711	0.6423525144	0.6809151114
168	0.6349327868	0.6423491461	0.6807671798
169	0.6349002034	0.6424118557	0.680987357
170	0.6348640167	0.6423918441	0.6808119033
171	0.6348417826	0.6424580211	0.6808566268
172	0.634838169	0.6424481143	0.6808531865
173	0.6348315631	0.6424679278	0.6808600671
174	0.6348203081	0.642446133	0.6807981423
175	0.6348063521	0.6424425666	0.6807534188
176	0.6347976129	0.6424587145	0.6807671798
177	0.6347863173	0.6424691166	0.6807843812
178	0.6347788801	0.642431471	0.6800103208
179	0.6347672083	0.6424371179	0.6800584846
180	0.6347480735	0.6424355328	0.6800688054
181	0.6347250251	0.6424714942	0.680089447
182	0.6347002094	0.6425346992	0.680051604
183	0.6346676785	0.6425181549	0.6805160403
184	0.6346576015	0.6425442096	0.6805332416
185	0.6346495161	0.6425702643	0.6805504429
186	0.6346289611	0.6426171231	0.680602047
187	0.6346170613	0.6426233644	0.6806123678
188	0.6345970982	0.6425983003	0.6806226886
189	0.6345810277	0.6426499144	0.6806433302
190	0.6345713924	0.6426441685	0.6806467704
191	0.6345460248	0.6426431778	0.6803474671
192	0.634531459	0.6426264355	0.6806433302
193	0.6345222944	0.6426259401	0.6806295691
194	0.6345081544	0.6426608118	0.6806742926
195	0.6345008311	0.6426998443	0.6804541154
196	0.6344461251	0.6427781075	0.6804541154
197	0.6344258082	0.6427283757	0.6799965597
198	0.6344078688	0.6427056893	0.6798555087
199	0.6344006358	0.6426861731	0.6791502537
200	0.6343752285	0.6427328337	0.6798486282
201	0.6343208888	0.6427642381	0.6800688054
202	0.6342983139	0.6428592436	0.6800447235
203	0.6342933858	0.6428576585	0.6800550443
204	0.6342770963	0.642912839	0.6801204094
205	0.6342569575	0.6429147213	0.6807706201
206	0.6342331222	0.642867169	0.6799931195
207	0.6342207954	0.6428599371	0.6799552765
208	0.6341840503	0.6428866852	0.6801548121
209	0.6341528168	0.6430033865	0.6802442591
210	0.634125369	0.6429424601	0.6796387718
